ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
93,2Syllabes,TRUE,0.753863692,191.8572786,191.9220466,0.064768,67.0674435,45.17478814,86.13524011,40.96045198,10.70178776,24.81596856,2.803379845,-87.37990026,0.631213176,68.47987288
94,2Syllabes,TRUE,0.6254825,192.0893074,192.1398194,0.050512,65.50189394,47.32007576,88.98674242,41.66666667,11.68928976,211.1973701,4.105643473,-85.4849925,0.667606697,66.2594697
95,Downward,TRUE,0.777594566,198.2526526,198.3121246,0.059472,63.18948413,48.30853175,65.66964286,17.36111111,5.595903039,-232.3743898,1.771827808,-88.32866362,0.631717825,64.67757937
96,Downward,TRUE,0.795587063,198.4456965,198.4870885,0.041392,67.8125,51.875,72.5,20.625,4.88910958,-344.7333052,1.33022077,-71.25125699,0.83410437,70
97,2Syllabes,TRUE,0.695931852,198.6257677,198.6858277,0.06006,65.47439759,43.63704819,85.05271084,41.41566265,8.357108291,-288.5157195,1.78195138,-74.24914435,0.764104934,67.73343373
98,2Syllabes,TRUE,0.875931382,198.8445778,198.8804818,0.035904,62.69971805,46.25234962,97.94407895,51.69172932,12.84599272,-17.6959677,2.681595659,-90.9837307,0.595371168,65.04934211
99,Chevron,TRUE,0.688111663,199.0324189,199.0486429,0.016224,81.52573529,75.64338235,82.99632353,7.352941176,2.114956079,148.0963346,1.309040892,-87.58587707,0.68694524,82.26102941
100,Complex,TRUE,0.664902389,199.2424762,199.2680122,0.025536,85.64144737,82.35197368,91.12390351,8.771929825,1.798264058,90.61617292,1.619856626,-90.207843,0.656837873,86.18969298
101,Complex,TRUE,0.75904727,199.5836657,199.6171457,0.03348,66.38565113,63.5721463,67.59143891,4.019292605,0.941360008,-26.52348484,1.582194946,-91.736119,0.656491658,67.18950965
102,Complex,TRUE,0.802445292,199.7566966,199.7972806,0.040584,65.92696629,62.64981273,70.14044944,7.490636704,2.634175132,-134.0777564,1.613767499,-88.14788753,0.707349655,69.67228464
103,Complex,TRUE,0.780845404,199.9374319,199.9711759,0.033744,68.34606987,65.61681223,71.07532751,5.458515284,1.63587139,-66.80072666,1.245933864,-84.45498235,0.731922557,70.52947598
104,2Syllabes,TRUE,0.654525578,200.1165126,200.1692006,0.052688,66.41891892,56.28378378,101.0472973,44.76351351,7.822031746,-147.1599606,2.357623692,-86.42328474,0.534782144,69.7972973
105,Composite,TRUE,0.82926333,200.2836458,200.3549858,0.07134,66.5239726,64.81164384,69.94863014,5.136986301,1.765533535,-67.39680455,1.01034032,-83.37012482,0.643868896,69.94863014
106,Composite,TRUE,0.641423404,200.4759356,200.5306556,0.05472,68.3619281,65.09395425,79.7998366,14.70588235,2.782989855,-125.3494417,1.449363576,-84.48166105,0.60995006,69.17892157
107,Composite,TRUE,0.629367352,200.6486723,200.7215723,0.0729,66.1137203,51.33770207,74.13602941,22.79832734,5.966735259,-268.8043703,1.019887164,-88.03407949,0.550281088,68.62132353
108,Complex,TRUE,0.782677114,200.8289625,200.8709625,0.042,71.12022425,67.59032392,73.40427741,5.813953488,1.796474,-87.60837249,1.714882803,-74.77858444,0.749119333,68.4208887
109,Complex,TRUE,0.708981037,201.0176675,201.0460355,0.028368,71.62563131,66.57512626,74.78219697,8.207070707,2.110340536,93.82940855,1.425421446,-84.83724618,0.696946772,74.78219697
110,Complex,TRUE,0.648898304,201.5172531,201.5387051,0.021452,73.43390805,68.40517241,80.61781609,12.21264368,1.904921286,77.44167144,1.659935343,-78.39103886,0.741280201,73.43390805
111,D.Chevron,TRUE,0.662699342,201.6859783,201.7251223,0.039144,70.05876068,62.04594017,76.46901709,14.42307692,3.22726175,112.479193,2.908724808,-89.37937286,0.609510621,70.05876068
112,Composite,TRUE,0.742930174,201.8564616,201.9112936,0.054832,68.02083333,61.35416667,108.0208333,46.66666667,7.123125905,-85.36714079,3.347100957,-82.39770723,0.684644316,66.35416667
113,Complex,TRUE,0.675450623,202.0448452,202.0699372,0.025092,71.86282468,65.36931818,82.41477273,17.04545455,3.246517556,198.1748027,1.897661141,-75.92452177,0.774325883,71.86282468
114,Upward,TRUE,0.720602274,202.2135293,202.2450333,0.031504,67.1875,63.71527778,74.13194444,10.41666667,3.407219838,277.4230443,1.501323728,-78.20359123,0.777875487,73.4375
115,Upward,TRUE,0.678464115,202.3893827,202.4205147,0.031132,71.49038462,65.99587912,72.86401099,6.868131868,1.545148155,54.55164134,1.129321278,-73.63482683,0.777946593,71.49038462
116,Upward,TRUE,0.76810658,203.5271177,203.5369097,0.009792,66.62990196,57.64297386,71.53186275,13.88888889,4.363801536,916.1467141,2.392948177,-84.66330967,0.718254089,69.08088235
117,Upward,TRUE,0.76620239,204.0311225,204.0506825,0.01956,72.1722561,66.07469512,82.08079268,16.00609756,3.611173334,487.4021349,1.634262354,-84.35739369,0.746081018,74.45884146
118,Downward,TRUE,1,204.2188385,204.2529065,0.034068,63.71433115,44.36909306,65.94647401,21.57738095,6.824618135,-300.9270485,1.766359834,-91.74996702,0.498235488,64.45837877
119,Downward,TRUE,0.589883983,204.384127,204.399327,0.0152,85.27829602,79.05939055,89.0096393,9.950248756,2.449262933,287.2542052,1.656814437,-102.9258161,0.398273687,85.27829602
